pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
240.5,-82.075,180.0,bottom,RGB35,,,SK6812MINI_E,SK6812MINI-E,smt
259.55,-82.075,180.0,bottom,RGB36,,,SK6812MINI_E,SK6812MINI-E,smt
259.55,-101.125,180.0,bottom,RGB37,,,SK6812MINI_E,SK6812MINI-E,smt
240.5,-101.125,180.0,bottom,RGB38,,,SK6812MINI_E,SK6812MINI-E,smt
221.45,-101.125,180.0,bottom,RGB39,,,SK6812MINI_E,SK6812MINI-E,smt
107.15,-43.975,180.0,bottom,RGB4,,,SK6812MINI_E,SK6812MINI-E,smt
202.4,-101.125,180.0,bottom,RGB40,,,SK6812MINI_E,SK6812MINI-E,smt
183.35,-101.125,180.0,bottom,RGB41,,,SK6812MINI_E,SK6812MINI-E,smt
164.3,-101.125,180.0,bottom,RGB42,,,SK6812MINI_E,SK6812MINI-E,smt
145.25,-101.125,180.0,bottom,RGB43,,,SK6812MINI_E,SK6812MINI-E,smt
126.2,-101.125,180.0,bottom,RGB44,,,SK6812MINI_E,SK6812MINI-E,smt
107.15,-101.125,180.0,bottom,RGB45,,,SK6812MINI_E,SK6812MINI-E,smt
88.1,-101.125,180.0,bottom,RGB46,,,SK6812MINI_E,SK6812MINI-E,smt
69.05,-101.125,180.0,bottom,RGB47,,,SK6812MINI_E,SK6812MINI-E,smt
50.0,-101.125,180.0,bottom,RGB48,,,SK6812MINI_E,SK6812MINI-E,smt
50.0,-120.175,180.0,bottom,RGB49,,,SK6812MINI_E,SK6812MINI-E,smt
126.2,-43.975,180.0,bottom,RGB5,,,SK6812MINI_E,SK6812MINI-E,smt
69.05,-120.175,180.0,bottom,RGB50,,,SK6812MINI_E,SK6812MINI-E,smt
88.1,-120.175,180.0,bottom,RGB51,,,SK6812MINI_E,SK6812MINI-E,smt
107.15,-120.175,180.0,bottom,RGB52,,,SK6812MINI_E,SK6812MINI-E,smt
126.2,-120.175,180.0,bottom,RGB53,,,SK6812MINI_E,SK6812MINI-E,smt
153.775,-119.75,180.0,bottom,RGB54,,,SK6812MINI_E,SK6812MINI-E,smt
183.35,-120.175,180.0,bottom,RGB55,,,SK6812MINI_E,SK6812MINI-E,smt
202.4,-120.175,180.0,bottom,RGB56,,,SK6812MINI_E,SK6812MINI-E,smt
221.45,-120.175,180.0,bottom,RGB57,,,SK6812MINI_E,SK6812MINI-E,smt
240.5,-120.175,180.0,bottom,RGB58,,,SK6812MINI_E,SK6812MINI-E,smt
259.55,-120.175,180.0,bottom,RGB59,,,SK6812MINI_E,SK6812MINI-E,smt
145.25,-43.975,180.0,bottom,RGB6,,,SK6812MINI_E,SK6812MINI-E,smt
164.3,-43.975,180.0,bottom,RGB7,,,SK6812MINI_E,SK6812MINI-E,smt
183.35,-43.975,180.0,bottom,RGB8,,,SK6812MINI_E,SK6812MINI-E,smt
202.4,-43.975,180.0,bottom,RGB9,,,SK6812MINI_E,SK6812MINI-E,smt
50.0,-50.0,0.0,bottom,SW1,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
221.45,-50.0,0.0,bottom,SW10,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
240.5,-50.0,0.0,bottom,SW11,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
259.55,-50.0,0.0,bottom,SW12,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
50.0,-69.05,0.0,bottom,SW13,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
69.05,-69.05,0.0,bottom,SW14,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
88.1,-69.05,0.0,bottom,SW15,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
107.15,-69.05,0.0,bottom,SW16,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
126.2,-69.05,0.0,bottom,SW17,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
145.25,-69.05,0.0,bottom,SW18,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
164.3,-69.05,0.0,bottom,SW19,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
69.05,-50.0,0.0,bottom,SW2,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
183.35,-69.05,0.0,bottom,SW20,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
202.4,-69.05,0.0,bottom,SW21,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
221.45,-69.05,0.0,bottom,SW22,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
240.5,-69.05,0.0,bottom,SW23,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
259.55,-69.05,0.0,bottom,SW24,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
50.0,-88.1,0.0,bottom,SW25,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
69.05,-88.1,0.0,bottom,SW26,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
88.1,-88.1,0.0,bottom,SW27,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
107.15,-88.1,0.0,bottom,SW28,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
126.2,-88.1,0.0,bottom,SW29,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
88.1,-50.0,0.0,bottom,SW3,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
145.25,-88.1,0.0,bottom,SW30,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
