Designator,Mid X,Mid Y,Rotation,Layer
SW48,259.55,-107.15,180.0,bottom
SW49,50.0,-126.2,180.0,bottom
SW5,126.2,-50.0,180.0,bottom
SW50,69.05,-126.2,180.0,bottom
SW51,88.1,-126.2,180.0,bottom
SW52,107.15,-126.2,180.0,bottom
SW53,126.2,-126.2,180.0,bottom
SW54,154.775,-126.2,180.0,bottom
SW55,183.35,-126.2,180.0,bottom
SW56,202.4,-126.2,180.0,bottom
SW57,221.45,-126.2,180.0,bottom
SW58,240.5,-126.2,180.0,bottom
SW59,259.55,-126.2,180.0,bottom
SW6,145.25,-50.0,180.0,bottom
SW60,93.5,-27.5,180.0,bottom
SW61,196.0,-27.5,180.0,bottom
SW62,105.0,-23.9,0.0,top
SW7,164.3,-50.0,180.0,bottom
SW8,183.35,-50.0,180.0,bottom
SW9,202.4,-50.0,180.0,bottom
U1,154.75,-31.0,0.0,top
U2,216.0,-31.0,180.0,top
U3,122.0,-33.5,180.0,top
U4,250.0,-31.0,180.0,top
U5,149.8,-24.0,0.0,top
U6,47.0,-30.25,0.0,top
U7,176.0,-31.0,180.0,top
Y1,164.0,-30.0,0.0,top
